"Name","alpha","Lowest Rel Error","_wandb"
"devout-sweep-7","0.008112479235152327","0.2731934747016617",""
"northern-sweep-6","0.0004726130260390527","0.03997875900982565",""
"revived-sweep-5","0.00036596776615739016","0.042339971756247055",""
"snowy-sweep-4","0.004563809854643172","0.0441760963924101",""
"fast-sweep-3","0.0003156509718084233","0.03800715130162552",""
"trim-sweep-2","0.008368514916175015","0.047916122790507665",""
"fanciful-sweep-1","0.007517619760894672","0.04867561355166834",""
"solar-sweep-59","0.43515169031767","0.13889049834895537",""
"dark-sweep-58","0.252460257540964","0.10908736057942948",""
"rose-sweep-57","0.8445509154786541","0.1569436093037316",""
"dashing-sweep-56","0.37520667397853114","0.13398172368066635",""
"fast-sweep-55","0.5891171409613238","0.14796322288511396",""
"genial-sweep-54","0.42437184339800094","0.13377290509058362",""
"vague-sweep-53","0.5605569621713989","0.14749114294681423",""
"prime-sweep-52","0.4306501813562178","0.1351096868177765",""
"rich-sweep-51","0.7030647860167546","0.15227604735070796",""
"expert-sweep-50","0.1626235550019738","0.11032622104827657",""
"zesty-sweep-49","0.5512702472047364","0.1427000228706655",""
"avid-sweep-48","0.4091695069295762","0.12491610115011352",""
"winter-sweep-47","0.8807766254227584","0.15727112248115785",""
"good-sweep-46","0.08534610722116254","0.08970955563800724",""
"sweet-sweep-45","0.3090104213114375","0.1247378751574192",""
"faithful-sweep-44","0.04608406427726364","0.07779083664892228",""
"stilted-sweep-43","0.2772523585939879","0.12470443066827216",""
"kind-sweep-42","0.2422081730934248","0.10889640308937626",""
"graceful-sweep-41","0.20286140175433875","0.11305393095943468",""
"eager-sweep-40","0.15086034498422696","0.10018471386229008",""
"solar-sweep-39","0.18994115785401589","0.10948741735891974",""
"radiant-sweep-38","0.9933037209862284","0.34480655066027743",""
"glorious-sweep-37","0.9282622106979956","0.15796377656847715",""
"hardy-sweep-36","0.9018211854951385","0.15687420876539235",""
"smooth-sweep-35","0.37777070084002584","0.12886050472001606",""
"sage-sweep-34","0.7798873578192964","0.15409995591188505",""
"celestial-sweep-33","0.0564300746351073","0.07936133854879894",""
"peachy-sweep-32","0.8569787955576751","0.15926635976101125",""
"earnest-sweep-31","0.7904106221784374","0.15291802537318416",""
"dulcet-sweep-30","0.7502890952750522","0.1562176483312172",""
"autumn-sweep-29","0.578693257673598","0.14596077797268112",""
"youthful-sweep-28","0.8067745393326355","0.15413069518705344",""
"fearless-sweep-27","0.4811955254072371","0.13825613181128596",""
"clear-sweep-26","0.5465436848698213","0.13973919910681284",""
"fearless-sweep-25","0.6959772564636935","0.1489136084534158",""
"serene-sweep-24","0.6749462439678579","0.15071647869143442",""
"toasty-sweep-23","0.9310476460613262","0.16245920217814855",""
"legendary-sweep-22","0.6100142754638945","0.14653924207828",""
"apricot-sweep-21","0.39472616945063665","0.12793684639205788",""
"prime-sweep-20","0.5923597461531316","0.14909972816127795",""
"vibrant-sweep-19","0.9784955993928384","0.25254543220295095",""
"robust-sweep-18","0.5651509714101642","0.1405127627745038",""
"firm-sweep-17","0.4235730753810577","0.12731455232512173",""
"breezy-sweep-16","0.16031938324173778","0.109199091744078",""
"youthful-sweep-15","0.9450029490160264","0.24988570159999657",""
"sage-sweep-14","0.2963473946798474","0.1168784886321184",""
"zesty-sweep-13","0.0012214662419759437","0.041411884206891215",""
"lemon-sweep-12","0.5713464520022447","0.13943277282272956",""
"summer-sweep-11","0.4137173483933949","0.12070763372278062",""
"lucky-sweep-10","0.6514999469557985","0.1492706195462436",""
"decent-sweep-9","0.2798899939234043","0.11963722401594318",""
"pretty-sweep-8","0.02038113264494379","0.06361659618915833",""
"sparkling-sweep-7","0.753237824845207","0.15396974438685168",""
"floral-sweep-6","0.369565414672439","0.12623387339384656",""
"ethereal-sweep-5","0.47151588528848354","0.14342420207172774",""
"floral-sweep-4","0.06437320782961597","0.07908149015896776",""
"dutiful-sweep-3","0.5131637108225212","0.1417164989808426",""
"peachy-sweep-2","0.9728679270853964","0.17442097972381557",""
"young-sweep-1","0.8793615664280442","0.15714931723356357",""
"honest-sweep-5","0.027438776486305175","0.0735098395304452",""
"hopeful-sweep-4","0.05528658618991261","0.07679234139012149",""
"usual-sweep-3","0.03538397415655886","0.07422859698911191",""
"helpful-sweep-2","0.06887500657186967","0.08772644428579217",""
"copper-sweep-1","0.06719726505744432","0.08938894740937364",""
"effortless-sweep-3","1","0.8388819116970717",""
"frosty-sweep-2","0.5","0.13905374396173684",""
"dutiful-sweep-1","0","0.04233304576644085",""
