"Name","alpha","Lowest Rel Error","_wandb"
"fluent-sweep-50","0.002","0.06520634603878243",""
"royal-sweep-49","0.002","0.059303820922406845",""
"denim-sweep-48","0.002","0.07129612637934524",""
"dauntless-sweep-47","0.002","0.06340030767079133",""
"eager-sweep-46","0.002","0.058442198862887415",""
"sunny-sweep-45","0.002","0.04824304739562893",""
"distinctive-sweep-44","0.002","0.05766372671582352",""
"sleek-sweep-43","0.002","0.07830421318911429",""
"kind-sweep-42","0.002","0.056741520918180056",""
"absurd-sweep-41","0.002","0.06344711372652814",""
"serene-sweep-40","0.002","0.06697497914380027",""
"logical-sweep-39","0.002","0.0551218395739344",""
"legendary-sweep-38","0.002","0.05599421086654696",""
"vital-sweep-37","0.002","0.0689775049684955",""
"lilac-sweep-36","0.002","0.06332816797723721",""
"light-sweep-35","0.002","0.05205124586134337",""
"youthful-sweep-34","0.002","0.06137409603465324",""
"soft-sweep-33","0.002","0.061621523946264495",""
"olive-sweep-32","0.002","0.0786922370557812",""
"expert-sweep-31","0.002","0.05399540620243446",""
"vivid-sweep-30","0.002","0.07980176441258847",""
"different-sweep-29","0.002","0.07556548766971888",""
"sleek-sweep-28","0.002","0.05355130432007457",""
"zany-sweep-27","0.002","0.05543362586245581",""
"rare-sweep-26","0.002","0.05213746700371691",""
"revived-sweep-25","0","0.09204905979887658",""
"dashing-sweep-24","0","0.07172996809344073",""
"royal-sweep-23","0","0.07916325359551926",""
"neat-sweep-22","0","0.07151146845922556",""
"honest-sweep-21","0","0.0793244661464513",""
"revived-sweep-20","0","0.08990906629361672",""
"vocal-sweep-19","0","0.09325402148426765",""
"dark-sweep-18","0","0.092484019093718",""
"giddy-sweep-17","0","0.07935064864309592",""
"serene-sweep-16","0","0.08622891429759337",""
"snowy-sweep-15","0","0.08114343121679",""
"exalted-sweep-14","0","0.07716287977286565",""
"toasty-sweep-13","0","0.0768934140128195",""
"floral-sweep-12","0","0.121390867430928",""
"neat-sweep-11","0","0.08993168169757536",""
"glad-sweep-10","0","0.0933186958810868",""
"exalted-sweep-9","0","0.09474320035720996",""
"vague-sweep-8","0","0.07844941111506924",""
"lively-sweep-7","0","0.09435113030268184",""
"dashing-sweep-6","0","0.0842147556642313",""
"wobbly-sweep-5","0","0.08157258819315459",""
"elated-sweep-4","0","0.08970709058053691",""
"volcanic-sweep-3","0","0.10565572563642107",""
"earthy-sweep-2","0","0.07090260464303803",""
"stilted-sweep-1","0","0.08106849039215351",""
"tough-sweep-25","0","0.09204905979887658",""
"summer-sweep-24","0","0.07172996809344073",""
"elated-sweep-23","0","0.07916325359551926",""
"volcanic-sweep-22","0","0.07151146845922556",""
"golden-sweep-21","0","0.0793244661464513",""
"fanciful-sweep-20","0","0.08990906629361672",""
"morning-sweep-19","0","0.09325402148426765",""
"chocolate-sweep-18","0","0.092484019093718",""
"effortless-sweep-17","0","0.07935064864309592",""
"swept-sweep-16","0","0.08622891429759337",""
"vital-sweep-15","0","0.08114343121679",""
"lively-sweep-14","0","0.07716287977286565",""
"pleasant-sweep-13","0","0.0768934140128195",""
"dutiful-sweep-12","0","0.121390867430928",""
"golden-sweep-11","0","0.08993168169757536",""
"toasty-sweep-10","0","0.0933186958810868",""
"copper-sweep-9","0","0.09474320035720996",""
"hearty-sweep-8","0","0.07844941111506924",""
"likely-sweep-7","0","0.09435113030268184",""
"easy-sweep-6","0","0.0842147556642313",""
"leafy-sweep-5","0","0.08157258819315459",""
"ethereal-sweep-4","0","0.08970709058053691",""
"generous-sweep-3","0","0.10565572563642107",""
"fancy-sweep-2","0","0.07090260464303803",""
"still-sweep-1","0","0.08106849039215351",""
