"Name","alpha","Data loss lowest (validation)"
"ethereal-sweep-69","0.46476416001652265","0.0027276792097836733"
"silvery-sweep-68","0.24886639620266593","0.0024673009756952524"
"helpful-sweep-67","0.05245885912548465","0.006246071774512529"
"brisk-sweep-66","0.6825508964985014","0.003360257251188159"
"morning-sweep-65","0.27522344519163133","0.0029775970615446568"
"peach-sweep-64","0.931844712396972","0.0016925436211749911"
"legendary-sweep-63","0.3933933178725999","0.002896777354180813"
"happy-sweep-62","0.6483842865829395","0.0028739774134010077"
"smart-sweep-61","0.029936459363929305","0.0064381882548332214"
"bright-sweep-60","0.994408709170168","0.003249644534662366"
"cool-sweep-59","0.9026484759946304","0.0033815589267760515"
"major-sweep-58","0.03628180739816467","0.007885688915848732"
"lemon-sweep-57","0.7177207185576516","0.003293947549536824"
"bumbling-sweep-56","0.0468352022254529","0.005885509308427572"
"eager-sweep-55","0.22040009080609035","0.004758601542562246"
"fine-sweep-54","0.38157383539421086","0.003778647864237428"
"silver-sweep-53","0.1705931245251554","0.003551163710653782"
"dazzling-sweep-52","0.22696698757725564","0.004945677239447832"
"summer-sweep-51","0.577563445548147","0.002723843790590763"
"elated-sweep-50","0.4388163000991193","0.003497631987556815"
"firm-sweep-49","0.13354419062046885","0.004054308403283358"
"wobbly-sweep-48","0.3325151338842298","0.00268897763453424"
"peachy-sweep-47","0.9538573105574172","0.002485601929947734"
"young-sweep-46","0.12034690953744888","0.003065598662942648"
"leafy-sweep-45","0.6022604821835437","0.0023989330511540174"
"curious-sweep-44","0.4921691210318213","0.004259735811501741"
"feasible-sweep-43","0.13004797238944","0.004110758658498526"
"stoic-sweep-42","0.9156953628564556","0.0024047147016972303"
"balmy-sweep-41","0.6625423478302088","0.0019747179467231035"
"magic-sweep-40","0.09608357330045436","0.006580575834959745"
"effortless-sweep-39","0.7597531926760773","0.0029223947785794735"
"whole-sweep-38","0.5636303843138565","0.0032269058283418417"
"astral-sweep-37","0.7518467697829978","0.002550060860812664"
"jolly-sweep-36","0.6987957995193388","0.003730584867298603"
"gallant-sweep-35","0.5471368908598728","0.002656079363077879"
"feasible-sweep-34","0.9228551728983868","0.001941051916219294"
"stilted-sweep-33","0.9304761079915838","0.0028788787312805653"
"dutiful-sweep-32","0.6436622070628365","0.0022407849319279194"
"gallant-sweep-31","0.15151054759648053","0.0037136967293918137"
"zany-sweep-30","0.8743811040364787","0.002698616124689579"
"lunar-sweep-29","0.3046995162210401","0.004026743583381176"
"graceful-sweep-28","0.5329911602409074","0.0042154667899012566"
"eternal-sweep-27","0.9489026622048028","0.002827782416716218"
"vocal-sweep-26","0.846141610462074","0.0033007485326379538"
"lemon-sweep-25","0.3660486487687262","0.002032674616202712"
"quiet-sweep-24","0.5619228401522781","0.004019075073301792"
"woven-sweep-23","0.09769096625255023","0.005018526688218117"
"robust-sweep-22","0.37987132382537614","0.003663352457806468"
"iconic-sweep-21","0.2198882976696379","0.00537845678627491"
"kind-sweep-20","0.09540128156511918","0.0049528926610946655"
"stoic-sweep-19","0.6528935845178925","0.0026835149619728327"
"comic-sweep-18","0.5473119492665255","0.0035789802204817533"
"fine-sweep-17","0.6545746178833428","0.0027966690249741077"
"young-sweep-16","0.062015900036229366","0.00508082052692771"
"peach-sweep-15","0.5702491927931459","0.0024502440355718136"
"stellar-sweep-14","0.8064588954673296","0.002284600166603923"
"chocolate-sweep-13","0.3246331844693091","0.0027537629939615726"
"northern-sweep-12","0.03571503605449822","0.0074832686223089695"
"sparkling-sweep-11","0.44023565808254905","0.003483823034912348"
"deep-sweep-10","0.6718235171745062","0.0019195537315681577"
"colorful-sweep-9","0.622494176527242","0.0029822573997080326"
"drawn-sweep-8","0.9967399373303628","0.0019033252028748393"
"bright-sweep-7","0.14177201444373266","0.003900751704350114"
"avid-sweep-6","0.4725637863474148","0.0025481737684458494"
"valiant-sweep-5","0.8293276762230994","0.004317794926464558"
"eternal-sweep-4","0.14321426170428464","0.0037769617047160864"
"balmy-sweep-3","0.29022517823244387","0.004094322677701712"
"pretty-sweep-2","0.46858832505717296","0.0028324213344603777"
"gallant-sweep-1","0.44748163193461254","0.004575024824589491"
"likely-sweep-7","0.42","0.004311771132051945"
"usual-sweep-6","0.97","0.0023791908752173185"
"swift-sweep-5","0.94","0.0025479088071733713"
"good-sweep-4","0.04","0.0055252606980502605"
"ethereal-sweep-3","0.02","0.008029242046177387"
"bumbling-sweep-1","0","0.045682791620492935"
"generous-sweep-2","1","1.7321158647537231"
"dashing-sweep-5","0.99999","0.1098143383860588"
"still-sweep-4","0.9999","0.010952889919281006"
"summer-sweep-3","0.9998","0.006372134666889906"
"devoted-sweep-2","0.9995","0.004814772866666317"
"avid-sweep-1","0.999","0.0046110088005661964"
