"Name","alpha","Data loss lowest (validation)"
"swept-sweep-21","1","0.3894995450973511"
"generous-sweep-20","0.95","0.003241322934627533"
"woven-sweep-19","0.9","0.0041501484811306"
"clear-sweep-18","0.85","0.0023586666211485863"
"fiery-sweep-17","0.8","0.000164642435265705"
"dutiful-sweep-16","0.75","0.00012154155410826206"
"vital-sweep-15","0.7","0.000023368513211607933"
"dry-sweep-14","0.65","0.00011115062807220966"
"rosy-sweep-13","0.6","0.000048373793106293306"
"misty-sweep-12","0.55","0.000017961161574930884"
"stoic-sweep-11","0.5","0.00006114920688560233"
"breezy-sweep-10","0.45","0.00007106777775334194"
"sparkling-sweep-9","0.4","0.00003916792775271461"
"good-sweep-8","0.35","0.000020798099285457283"
"cerulean-sweep-7","0.3","0.00009383760334458202"
"balmy-sweep-6","0.25","0.000006617378403461771"
"sandy-sweep-5","0.2","0.000004466046448214911"
"logical-sweep-4","0.15","0.000018703340174397457"
"dutiful-sweep-3","0.1","0.000021348716472857632"
"cerulean-sweep-2","0.05","0.000027702244551619515"
"dulcet-sweep-1","0","0.008900702930986881"
"skilled-sweep-58","0.9830508474576272","0.011901476420462132"
"earthy-sweep-57","0.9661016949152542","0.012379148043692112"
"sunny-sweep-56","0.9491525423728814","0.004311070777475834"
"sandy-sweep-55","0.9322033898305084","0.0008588351192884147"
"snowy-sweep-54","0.9152542372881356","0.0017420166404917836"
"playful-sweep-53","0.8983050847457628","0.0003350772021804005"
"playful-sweep-52","0.8813559322033898","0.0014054530765861273"
"fancy-sweep-51","0.864406779661017","0.00029104939312674105"
"cool-sweep-50","0.847457627118644","0.004186592530459166"
"distinctive-sweep-49","0.8305084745762712","0.00019802043971139935"
"good-sweep-48","0.8135593220338984","0.0001430353295290843"
"daily-sweep-47","0.7966101694915254","0.00013460872287396342"
"summer-sweep-46","0.7796610169491526","0.00031373597448691726"
"likely-sweep-45","0.7627118644067796","0.00007004491635598242"
"ruby-sweep-44","0.7457627118644068","0.00004908247137791477"
"eager-sweep-43","0.7288135593220338","0.00016195321222767234"
"dainty-sweep-42","0.711864406779661","0.00005993290687911213"
"confused-sweep-41","0.6949152542372882","0.00005976707689114846"
"eternal-sweep-40","0.6779661016949152","0.00018483410531189293"
"earnest-sweep-39","0.6610169491525424","0.00009986812801798806"
"lunar-sweep-38","0.6440677966101694","0.0003745016292668879"
"divine-sweep-37","0.6271186440677966","0.00006125590880401433"
"snowy-sweep-36","0.6101694915254238","0.00010380079766036944"
"stellar-sweep-35","0.5932203389830508","0.00010657869279384612"
"summer-sweep-34","0.576271186440678","0.00005898829112993553"
"amber-sweep-33","0.559322033898305","0.0001213085270137526"
"firm-sweep-32","0.5423728813559322","0.00005201430030865595"
"vivid-sweep-31","0.5254237288135594","0.00005851102832821198"
"fine-sweep-30","0.5084745762711864","0.00006540144386235625"
"blooming-sweep-29","0.4915254237288136","0.000024629807739984244"
"royal-sweep-28","0.4745762711864407","0.00007908879342721775"
"feasible-sweep-27","0.4576271186440678","0.0000319130122079514"
"clean-sweep-26","0.4406779661016949","0.000010089401257573629"
"lively-sweep-25","0.423728813559322","0.00013425174984149635"
"honest-sweep-24","0.4067796610169492","0.00006466653576353565"
"autumn-sweep-23","0.3898305084745763","0.00007318374264286831"
"comfy-sweep-22","0.3728813559322034","0.0003530416579451412"
"dutiful-sweep-21","0.3559322033898305","0.000032727388315834105"
"honest-sweep-20","0.3389830508474576","0.000017147520338767208"
"worldly-sweep-19","0.3220338983050847","0.00012959007290191948"
"solar-sweep-18","0.3050847457627119","0.000008279649591713678"
"absurd-sweep-17","0.288135593220339","0.000009529024282528551"
"proud-sweep-16","0.2711864406779661","0.000099944336398039"
"vocal-sweep-15","0.2542372881355932","0.00002296421189385001"
"lemon-sweep-14","0.23728813559322037","0.00005047333615948446"
"noble-sweep-13","0.22033898305084745","0.00011084355355706066"
"eager-sweep-12","0.2033898305084746","0.000008625306691101287"
"crimson-sweep-11","0.1864406779661017","0.00006160440534586087"
"super-sweep-10","0.1694915254237288","0.00002070671871479135"
"celestial-sweep-9","0.15254237288135594","0.000022439975509769283"
"usual-sweep-8","0.13559322033898305","0.000011632664609351195"
"earnest-sweep-7","0.11864406779661016","0.00002072878305625636"
"vivid-sweep-6","0.1016949152542373","0.00013493798905983567"
"revived-sweep-5","0.0847457627118644","0.00004313003228162415"
"lunar-sweep-4","0.06779661016949153","0.00003104399729636498"
"hearty-sweep-3","0.05084745762711865","0.000013480475899996236"
"lemon-sweep-2","0.03389830508474576","0.000013973094610264525"
"generous-sweep-1","0.01694915254237288","0.00004799418093170971"
