Name,alpha,Lowest Rel Error,_wandb
avid-sweep-53,0.004497435900702,0.128951180410143,
solar-sweep-52,0.016652976529616,0.134426227018394,
wild-sweep-51,0.021039642609754,0.139074986335023,
rose-sweep-50,0.042736983014227,0.134711488095799,
vivid-sweep-49,0.100088488486923,0.162749609772991,
devout-sweep-48,0.091393487141885,0.150039084019836,
woven-sweep-47,0.191458149026767,0.175417312069905,
splendid-sweep-46,0.108353390488014,0.165558431918231,
soft-sweep-45,0.118556035550717,0.162344052081133,
peach-sweep-44,0.038595265474869,0.134643164653133,
generous-sweep-43,0.152637647336051,0.141211476675239,
vocal-sweep-42,0.001295084238447,0.120696487269288,
dauntless-sweep-41,0.040089138788448,0.152565960346223,
denim-sweep-40,0.072835886146352,0.149448361785779,
bright-sweep-39,0.131188346190694,0.141102442351032,
laced-sweep-38,0.019393850000476,0.137340060902597,
sunny-sweep-37,0.098266748393136,0.149325493459883,
generous-sweep-36,0.005912452774045,0.155884504576187,
desert-sweep-35,0.090299054428329,0.189742229120857,
toasty-sweep-34,0.044843478003904,0.136032057668089,
worthy-sweep-33,0.091098313008929,0.15129402901346,
frosty-sweep-32,0.157294635886302,0.176887380664798,
floral-sweep-31,0.138131590962865,0.156882855898984,
lyric-sweep-30,0.165707866531039,0.152352811862386,
golden-sweep-29,0.166213251318549,0.160587994407473,
treasured-sweep-28,0.153148896360629,0.155268485665013,
misty-sweep-27,0.124629873789959,0.152142849884328,
deep-sweep-26,0.100793749758215,0.213891880420335,
pretty-sweep-25,0.163927276443677,0.153267551948978,
efficient-sweep-24,0.040244798470436,0.153317601654022,
colorful-sweep-23,0.047364372612427,0.122959975814059,
cerulean-sweep-22,0.150889237903423,0.148042416217932,
olive-sweep-21,0.081261320587672,0.150337250013001,
fluent-sweep-20,0.159220794070334,0.158575575064394,
resilient-sweep-19,0.093889190622228,0.144018988727384,
divine-sweep-18,0.095898337972499,0.144786889247665,
peachy-sweep-17,0.036247092635408,0.133816350199992,
brisk-sweep-16,0.056949077744916,0.142890611997643,
elated-sweep-15,0.114450744947696,0.157732829273061,
comfy-sweep-14,0.131644216792898,0.158202037641135,
fluent-sweep-13,0.043525402926144,0.133303763136411,
clear-sweep-12,0.156594839953811,0.146985202296486,
stilted-sweep-11,0.193927010653609,0.143111737689632,
royal-sweep-10,0.005066292615397,0.162077539656623,
classic-sweep-9,0.02034998175855,0.137901958419385,
brisk-sweep-8,0.051623930728067,0.128742141123165,
light-sweep-7,0.11337185211506,0.134523741906468,
soft-sweep-6,0.0776110550056,0.152348054855948,
serene-sweep-5,0.13032789610756,0.206300676818338,
solar-sweep-4,0.010265600365928,0.132693642855869,
stoic-sweep-3,0.111675697565969,0.133091023226147,
serene-sweep-2,0.101476265051265,0.168351784114549,
expert-sweep-1,0.034012970536756,0.172743912936446,
charmed-sweep-21,0.607837598574981,0.163178713840482,
comfy-sweep-20,0.726090293600975,0.184854450717935,
flowing-sweep-19,0.071166866383695,0.147606188607766,
sweepy-sweep-18,0.74619453434201,0.187424506132799,
crimson-sweep-17,0.731028650552665,0.178962570111555,
happy-sweep-16,0.025261461749682,0.141034887192694,
helpful-sweep-15,0.838291449897418,0.183491311067666,
sleek-sweep-14,0.315869209164407,0.183154786793422,
desert-sweep-13,0.412812042199245,0.168580375557301,
major-sweep-12,0.434497230052082,0.178972482774728,
deft-sweep-11,0.995153615680332,0.199352665641823,
curious-sweep-10,0.309378572578317,0.197686425130767,
classic-sweep-9,0.271405089210818,0.149192103074441,
hardy-sweep-8,0.628572618627738,0.16961638880271,
hopeful-sweep-7,0.12357298503016,0.135831754264161,
glorious-sweep-6,0.946675800692806,0.184112836067415,
bright-sweep-5,0.7047987944512,0.191842050257728,
lemon-sweep-4,0.535700759774889,0.173278134663321,
pretty-sweep-3,0.353912716031159,0.181383681922174,
icy-sweep-2,0.332058597790965,0.174487540534797,
golden-sweep-1,0.764211734558901,0.187358362365841,
deep-sweep-3,0.900105054721723,0.221425823489507,
morning-sweep-2,0.910886213878916,0.185116774211043,
laced-sweep-1,0.901902394561578,0.189557788535503,
balmy-sweep-4,0.99,0.183662505542717,
rare-sweep-3,1,1.49798631331935,
glamorous-sweep-2,0.5,0.193895234201546,
usual-sweep-1,0,0.27360004610578,
