"Name","alpha","Data loss lowest (validation)"
"wandering-sweep-40","0.15737746640189965","0.000028702863346552476"
"icy-sweep-39","0.20980287050701052","0.0000015445443750650156"
"fiery-sweep-38","0.30314618479156996","0.000006463295449066209"
"efficient-sweep-37","0.04585650539923236","0.000001196528160107846"
"atomic-sweep-36","0.2726344774279955","0.0000015730066706964865"
"vibrant-sweep-35","0.44266765920624096","0.000005882690402359003"
"vague-sweep-34","0.5943665909845216","0.000011386675396352077"
"serene-sweep-33","0.07627366114532963","0.0000010275899740008754"
"glowing-sweep-32","0.5322526941784661","0.000014936546904209536"
"rare-sweep-31","0.24098297743982733","0.000003086105152760865"
"dulcet-sweep-30","0.630933290901304","0.00003147889219690114"
"sweet-sweep-29","0.015829783681913567","0.0000011436540034992504"
"glad-sweep-28","0.6698022694305172","0.000017484071577200666"
"atomic-sweep-27","0.11740414679546628","0.0000012968745295438566"
"polished-sweep-26","0.3439228963450366","0.000007873066351749003"
"resilient-sweep-25","0.1696416549802665","0.0000016521688621651265"
"generous-sweep-24","0.3988368437534302","0.0000058619175433705095"
"pretty-sweep-23","0.5157578469722387","0.000008157882803061511"
"sweet-sweep-22","0.22439447210875152","0.00000294245251097891"
"magic-sweep-21","0.06164011542705517","7.472814331777045e-7"
"dashing-sweep-20","0.28743316901270055","0.0000024157366169674788"
"icy-sweep-19","0.4581615738058117","0.000010120414117409382"
"fancy-sweep-18","0.5774566020538456","0.000013694017980014904"
"giddy-sweep-17","0.6498579967871323","0.000013463165487337392"
"restful-sweep-16","0.7162366364172561","0.00007444717630278319"
"wobbly-sweep-15","0.1428088099652517","0.000001992891839108779"
"eager-sweep-14","0.3721828585001944","0.0000054556139730266295"
"prime-sweep-13","0.612586004491049","0.00002294435034855269"
"gentle-sweep-12","0.25674906220283766","0.0000020823581508011557"
"usual-sweep-11","0.4896053891440597","0.000015087780411704443"
"legendary-sweep-10","0.548221274559455","0.000004942278337694006"
"lunar-sweep-9","0.31731398083373163","0.000005552235506911529"
"wandering-sweep-8","0.4269655177473204","0.000005023734956921544"
"icy-sweep-7","0.998991468737608","0.0476485975086689"
"whole-sweep-6","0.0920799036309866","0.0000010624770538925077"
"different-sweep-5","0.19641377279294592","0.0000030064959446463035"
"rare-sweep-4","0.0006954483673384804","0.00000454195333077223"
"honest-sweep-3","0.031313829302240026","7.84635858508409e-7"
"lemon-sweep-2","0.688313687858624","0.000023311291442951187"
"divine-sweep-1","0.7318775127969793","0.00002327789115952328"
"playful-sweep-5","0.95","0.0010301015572622418"
"glad-sweep-4","0.9","0.0002739851188380271"
"fresh-sweep-3","0.85","0.00005664858326781541"
"fiery-sweep-2","0.8","0.00002300245796504896"
"vague-sweep-1","0.75","0.00006834101804997772"
"noble-sweep-3","0.0","0.0001591822074260563"
