"Name","alpha","Data loss lowest (validation)"
"glad-sweep-64","0.18296687844039083","0.00001118816635425901"
"desert-sweep-63","0.3868712741654484","0.000008917124432628043"
"balmy-sweep-62","0.3472221887616146","0.00001592241278558504"
"peach-sweep-61","0.31849850663701784","0.0000118249863589881"
"solar-sweep-60","0.33195249654901793","0.00003603110963013023"
"flowing-sweep-59","0.14602298155029447","0.000007262944563990459"
"fast-sweep-58","0.2682894301787231","0.000010659959116310349"
"stilted-sweep-57","0.30642734905299773","0.000009927533028530888"
"whole-sweep-56","0.08240299059907308","0.000006227945959835779"
"upbeat-sweep-55","0.04863095859151034","0.000011113732398371212"
"jolly-sweep-54","0.03515393456179727","0.000008472306944895536"
"logical-sweep-53","0.41017433268338854","0.000009670514373283368"
"lemon-sweep-52","0.20219505740431576","0.000007111078957677819"
"genial-sweep-51","0.1655079540206501","0.000005449409400171135"
"scarlet-sweep-50","0.5092000264245066","0.00002350414615648333"
"rural-sweep-49","0.4909937196937196","0.00002492394924047403"
"vague-sweep-48","0.472960005003108","0.00003524457133607939"
"stellar-sweep-47","0.5505857699438494","0.0008689832757227123"
"splendid-sweep-46","0.45605717491854336","0.00006760490214219317"
"royal-sweep-45","0.5001838029615248","0.000011713141248037571"
"resilient-sweep-44","0.5150645785123562","0.00002070045957225375"
"neat-sweep-43","0.42811520699902494","0.00013879689504392445"
"sandy-sweep-42","0.4651848084539046","0.000013323116036190186"
"classic-sweep-41","0.48156835454671265","0.000005745091129938373"
"celestial-sweep-40","0.4447045645419021","0.00017380036297254264"
"eager-sweep-39","0.22085084525565413","0.000014137830476101954"
"hearty-sweep-38","0.29424727198877054","0.000005068694463261636"
"denim-sweep-37","0.12739799370037896","0.00001749721195665188"
"fanciful-sweep-36","0.09913229270278023","0.0000034597669582581148"
"tough-sweep-35","0.25240386666801584","0.000007208743681985652"
"copper-sweep-34","0.3540426967807607","0.000018628175894264132"
"chocolate-sweep-33","0.04160259668701238","0.0000055690729823254514"
"smooth-sweep-32","0.23575716137776948","0.000006853210834378842"
"trim-sweep-31","0.11550079619973708","0.000005947926638327772"
"cosmic-sweep-30","0.40265181644188497","0.000020540794139378704"
"celestial-sweep-29","0.3812726577004718","0.00001095355037250556"
"bright-sweep-28","0.01259513512423338","0.00001871575841505546"
"denim-sweep-27","0.32417449952828525","0.000016359923392883502"
"gentle-sweep-26","0.1741615794313166","0.0000135466334540979"
"warm-sweep-25","0.30001489453539165","0.000004394124061946059"
"pleasant-sweep-24","0.27575361417907185","0.000017978136384044774"
"youthful-sweep-23","0.07452441329027593","0.000024230548660852943"
"swift-sweep-22","0.13745485126371493","0.00002276348277518991"
"denim-sweep-21","0.2105411429160905","0.0000219473076867871"
"tough-sweep-20","0.2449596011587992","0.000007877807547629345"
"eternal-sweep-19","0.106668073345343","0.000006790495717723388"
"honest-sweep-18","0.39203842938504874","0.000008456193427264225"
"fallen-sweep-17","0.28765652595822655","0.000006192220553202787"
"restful-sweep-16","0.026906697886702635","0.000024235252567450516"
"ethereal-sweep-15","0.4359304000781451","0.000026952908228849992"
"hopeful-sweep-14","0.339496617950484","0.000024419647161266766"
"visionary-sweep-13","0.08950200753639825","0.0000117309564302559"
"stoic-sweep-12","0.22769712441937084","0.000005119746674608905"
"olive-sweep-11","0.15594353982761577","0.000030809194868197665"
"prime-sweep-10","0.31155889954472027","0.000008471851288049947"
"super-sweep-9","0.05696434798802608","0.000031444189517060295"
"crisp-sweep-8","0.41537881966821966","0.00002535632302169688"
"fast-sweep-7","0.19122446286675657","0.000026851137590711005"
"rare-sweep-6","0.12191134563899708","0.0000026284478735760786"
"proud-sweep-5","0.3680228791983072","0.000022337264454108663"
"gentle-sweep-4","0.9990569648828986","0.05931640416383743"
"volcanic-sweep-3","0.002365258075848642","0.000013522441804525442"
"sweepy-sweep-2","0.26171945274182506","0.000008853569852362853"
"grateful-sweep-1","0.4503618673297965","0.00001631065424589906"
"northern-sweep-10","0.95","0.004716829396784306"
"rosy-sweep-9","0.9","0.0007423144415952265"
"leafy-sweep-8","0.85","0.0006486704223789275"
"dulcet-sweep-7","0.8","0.0002239865425508469"
"lilac-sweep-6","0.75","0.0002160125877708197"
"gentle-sweep-5","0.7","0.00008936341328080744"
"jumping-sweep-4","0.65","0.001750768511556089"
"iconic-sweep-3","0.6","0.00002801979826472234"
"silvery-sweep-2","0.55","0.0001549655426060781"
"valiant-sweep-1","0.5","0.00001863584293460008"
"astral-sweep-1","0.0","0.008452381007373333"
