"Name","alpha","Data loss lowest (validation)"
"misunderstood-sweep-67","0.33422533082305017","0.000019361497834324837"
"sage-sweep-66","0.19836706255196537","0.0000266117731371196"
"faithful-sweep-64","0.36385364326314074","0.000021668654881068505"
"comic-sweep-60","0.6216107817171463","0.00002101849349855911"
"grateful-sweep-58","0.3629482346429892","0.00002296383354405407"
"stoic-sweep-56","0.3610897025107198","0.00004638026803149842"
"lemon-sweep-54","0.49885715621030424","0.000024902761651901528"
"electric-sweep-53","0.22089224235151628","0.000023773787688696757"
"wise-sweep-50","0.6430232788720721","0.00003389662379049696"
"decent-sweep-48","0.3358746654694791","0.000024423010472673923"
"spring-sweep-43","0.5581000908189941","0.000031327468605013564"
"flowing-sweep-41","0.5938316271685444","0.000020765273802680895"
"elated-sweep-39","0.5096710188561049","0.000026659383365768008"
"fanciful-sweep-38","0.8643354430143768","0.00004210140468785539"
"dashing-sweep-37","0.7619357375601311","0.00002380046498728916"
"frosty-sweep-36","0.13021138283604006","0.000020919067537761293"
"misunderstood-sweep-35","0.18263923447367292","0.000044814543798565865"
"elated-sweep-33","0.2129796791366717","0.00002483237403794192"
"polished-sweep-32","0.276871380654507","0.000026600548153510317"
"true-sweep-31","0.7043721147382845","0.000027901145585929044"
"elated-sweep-30","0.31683465406156053","0.000031635703635402024"
"easy-sweep-29","0.1178580525420072","0.000020521905753412284"
"volcanic-sweep-28","0.2215939014792427","0.000018107086361851543"
"happy-sweep-27","0.8878634211356864","0.0000402135519834701"
"atomic-sweep-26","0.8113605176646181","0.00004223554060445167"
"swept-sweep-25","0.6421624181652421","0.00002424133890599478"
"autumn-sweep-24","0.08870243623656338","0.00003380823181942105"
"amber-sweep-22","0.5800412663890224","0.00002680757097550668"
"misty-sweep-21","0.4998179033957786","0.000021994588678353463"
"neat-sweep-20","0.5303311567551731","0.000024975452106446028"
"colorful-sweep-19","0.8404725060051113","0.000035264351026853547"
"balmy-sweep-18","0.200433439081393","0.00002266774208692368"
"eager-sweep-17","0.5149908283954846","0.000017851891243481077"
"golden-sweep-16","0.29790833789941273","0.000026270123271388"
"vital-sweep-15","0.7370638782782674","0.00003303948324173689"
"laced-sweep-14","0.783952449769448","0.000028291968192206696"
"radiant-sweep-13","0.38858261064610977","0.00004405713843880221"
"azure-sweep-12","0.5588104852517043","0.00002146447150153108"
"iconic-sweep-11","0.6224675129853549","0.000021894684323342517"
"faithful-sweep-10","0.59448576662227","0.000018082202586811036"
"tough-sweep-9","0.6732165290912637","0.00003121680856565945"
"charmed-sweep-8","0.35278012594864594","0.000024680295609869063"
"dashing-sweep-7","0.3620136235050473","0.000021364610802265815"
"expert-sweep-6","0.3350657313478608","0.00002214832420577295"
"gallant-sweep-5","0.45619163062218704","0.000041014369344338775"
"brisk-sweep-4","0.002543371762148916","0.00008505040023010224"
"summer-sweep-3","0.9988598065321322","0.0001809956302167848"
"devout-sweep-2","0.24909382661358548","0.000028786320399376564"
"bumbling-sweep-1","0.1534801469691488","0.00003372555147507228"
"scarlet-sweep-7","0.42","0.00002063755709968973"
"breezy-sweep-6","0.97","0.0000718526280252263"
"helpful-sweep-5","0.94","0.00005765159221482463"
"morning-sweep-4","0.04","0.000046936896978877485"
"bumbling-sweep-3","0.02","0.00003489527080091648"
"different-sweep-1","0","0.0002120449935318902"
"visionary-sweep-2","1","1.7374491691589355"
